Site,Plot,Type,Location ,Year,A_ha,A_est,S,N,E,B,B_2_3,DBHmin_cm,meas_est,emin_g,Lat,Lon,Elev_m,pBnum,pB0,pB1,lambda_1,lambda_2,beta,Notes1,Notes2,Notes3,Notes4,E_2_3
Atlantic Forest restinga,6L1,Tropical trees,Brazil,2015,0.00125,N,15,22,102.7092,224.3061,345.9933,4.997465,N,,,,,,,,,,,,,,,102.7092
Atlantic Forest restinga,6L3,Tropical trees,Brazil,2015,0.00125,N,14,20,169.6116,568.2694,1099.453,5.411268,N,,,,,,,,,,,,,,,169.6116
Atlantic Forest restinga,5L1,Tropical trees,Brazil,2015,0.00125,N,13,25,135.3977,371.2233,655.3729,5.061127,N,,,,,,,,,,,,,,,135.3977
Atlantic Forest restinga,5L2,Tropical trees,Brazil,2015,0.00125,N,13,20,195.7322,627.4894,1170.254,5.092958,N,,,,,,,,,,,,,,,195.7322
Atlantic Forest restinga,5L3,Tropical trees,Brazil,2015,0.00125,N,15,25,70.73095,110.6893,141.1976,5.252113,N,,,,,,,,,,,,,,,70.73095
Atlantic Forest restinga,5L5,Tropical trees,Brazil,2015,0.00125,N,18,27,329.9215,1383.537,3035.4309999999996,5.092958,N,,,,,,,,,,,,,,,329.9215
Ordway-Swisher Forest Dynamics Plot,unburned,Temperate trees,,2019,17.6,N,11,7714,2185400.0,18386158.0,54821716.0,1.0,N,,,,,,,,,,,,,,,2185400.0
Hawaii,Volcano (200 y),Tropical arthropods,Hawaii USA,1997,,N,167,1909,83121.76,424260.2,424260.2,,N,0.0056,,,,,,,,,,,,,,49565.32
Hawaii,Lanai (1500 y),Tropical arthropods,Hawaii USA,1997,,N,156,2253,41210.11,165838.1,165838.1,,N,0.0056,,,,,,,,,,,,,,26991.72
Hawaii,Kohala (150 ky),Tropical arthropods,Hawaii USA,1997,,N,240,6048,87168.36,339471.8,339471.8,,N,0.0056,,,,,,,,,,,,,,58945.59
Hawaii,Molokai (1.2 My),Tropical arthropods,Hawaii USA,1997,,N,227,3865,102189.2,413508.2,413508.2,,N,0.0056,,,,,,,,,,,,,,65915.06
Hawaii,Kauai (4My),Tropical arthropods,Hawaii USA,1997,,N,158,1922,35818.52,137916.7,137916.7,,N,0.0056,,,,,,,,,,,,,,23893.82
